5,NACB0FAP5,New acad(Ground),2c:33:11:80:7e:16,70:db:98:07:84:20,AIR-AP2802I-D-K9,FGL2109A44U
6,NACB0FAP6,New acad(Ground),00:38:df:20:03:18,00:38:df:20:72:c0,AIR-AP1852I-D-K9,KWC2049066D
7,NACB0FAP7,New acad(Ground),00:38:df:20:05:08,00:38:df:20:7a:80,AIR-AP1852I-D-K9,KWC204906838,NACB0FAP8,,,,,
14,NACB1FAP6,No Guard Post,00:2c:c8:99:61:c6,f8:0b:cb:ec:67:80,AIR-AP2802I-D-K9,FGL2109A466
15,NACB1FAP7,No Guard Post,2c:33:11:80:7d:1e,70:db:98:07:74:a0,AIR-AP2802I-D-K9,FGL2109A45J
16,NACB1FAP8,No Guard Post,2c:33:11:80:7c:3e,f8:0b:cb:f3:7d:a0,AIR-AP2802I-D-K9,FGL2109A4A1
17,NACB1FAP9,No Guard Post,2c:33:11:85:e5:28,f8:0b:cb:e8:59:20,AIR-AP2802I-D-K9,FGL2109A460
19,NACB2FAP1,New acad(2nd Floor),2c:33:11:80:7c:e4,f8:0b:cb:f3:88:00,AIR-AP2802I-D-K9,FGL2109A464
20,NACB2FAP2,New acad(2nd Floor),2c:33:11:85:e6:68,f8:0b:cb:e8:6d:20,AIR-AP2802I-D-K9,FGL2109A45B
21,NACB2FAP3,New acad(2nd Floor),00:38:df:24:65:40,00:38:df:25:fb:80,AIR-AP1852I-D-K9,KWC204803UH
22,NACB2FAP4,New acad(2nd Floor),00:38:df:20:04:28,00:38:df:20:77:00,AIR-AP1852I-D-K9,KWC2049067B
23,NACB2FAP5,New acad(2nd Floor),00:38:df:20:03:a8,00:38:df:20:75:00,AIR-AP1852I-D-K9,KWC2049066V
29,NACB2FAP11,New acad(2nd Floor),00:2c:c8:99:64:64,70:db:98:14:a0:60,AIR-AP2802I-D-K9,FGL2109A465
29,NACB2FAP11,New acad(2nd Floor),00:2c:c8:99:64:64,6c:dd:30:3f:75:65,AIR-AP2802I-D-K9,FGL2109A465
34,NACB3FAP1,New acad(3rd Floor),00:38:df:20:05:28,00:38:df:20:7b:00,AIR-AP1852I-D-K9,KWC20490687
35,NACB3FAP2,New acad(3rd Floor),00:38:df:20:04:20,00:38:df:20:76:e0,AIR-AP1852I-D-K9,KWC2049067A
36,NACB3FAP3,New acad(3rd Floor),00:38:df:20:04:38,00:38:df:20:77:40,AIR-AP1852I-D-K9,KWC2049067D
37,NACB3FAP4,New acad(3rd Floor),00:38:df:20:04:08,00:38:df:20:76:80,AIR-AP1852I-D-K9,KWC20490677
38,NACB3FAP5,New acad(3rd Floor),00:38:df:20:03:a0,00:38:df:20:74:e0,AIR-AP1852I-D-K9,KWC2049066U
39,NACB3FAP6,New acad(3rd Floor),2c:33:11:80:7e:ba,70:db:98:07:8e:60,AIR-AP2802I-D-K9,FGL2109A45H
42,NACB3FAP9,New acad(3rd Floor),2c:33:11:80:7e:02,70:db:98:07:82:e0,AIR-AP2802I-D-K9,FGL2109A45R
49,NACB4FAP1,New acad(4th Floor),00:38:df:20:03:e0,00:38:df:20:75:e0,AIR-AP1852I-D-K9,KWC20490672
49,NACB4FAP1,New acad(2nd Floor),00:38:df:20:03:e0,6c:dd:30:41:30:85,AIR-AP1852I-D-K9,KWC20490672
50,NACB4FAP2,New acad(4th Floor),00:38:df:20:05:20,00:38:df:20:7a:e0,AIR-AP1852I-D-K9,KWC20490686
51,NACB4FAP3,New acad(4th Floor),00:38:df:20:05:50,00:38:df:20:7b:a0,AIR-AP1852I-D-K9,KWC2049068C
52,NACB4FAP4,New acad(4th Floor),00:38:df:24:5e:90,00:38:df:25:e0:c0,AIR-AP1852I-D-K9,KWC204803OJ
53,NACB4FAP5,New acad(4th Floor),00:38:df:20:03:b8,00:38:df:20:75:40,AIR-AP1852I-D-K9,KWC2049066X
55,NACB4FAP7,New acad(4th Floor),2c:33:11:80:7e:1e,70:db:98:07:84:a0,AIR-AP2802I-D-K9,FGL2109A44V
55,NACB4FAP7,New acad(4th Floor),2c:33:11:80:7e:1e,00:38:df:20:7b:a7,AIR-AP2802I-D-K9,FGL2109A44V
64,NACB5FAP1,New acad(5th Floor),18:e7:28:a8:30:69,2c:3e:cf:8f:52:60,AIR-CAP1602I-N-K9,FGL1809S22L
65,NACB5FAP2,New acad(5th Floor),18:e7:28:d1:83:d6,2c:3e:cf:ca:eb:70,AIR-CAP1602I-N-K9,FGL1809S232
66,NACB5FAP3,New acad(5th Floor),18:e7:28:35:ed:09,2c:3e:cf:4a:de:20,AIR-CAP1602I-N-K9,FGL1807X116
67,NACB5FAP4,New acad(5th Floor),18:e7:28:f0:0e:f8,2c:3e:cf:b6:be:a0,AIR-CAP1602I-N-K9,FGL1807X117
68,NACB5FAP5,New acad(5th Floor),18:e7:28:11:69:09,2c:3e:cf:1d:9b:50,AIR-CAP1602I-N-K9,FGL1807X119
70,NACB5FAP7,New acad(5th Floor),2c:33:11:85:e6:04,f8:0b:cb:e8:66:e0,AIR-AP2802I-D-K9,FGL2109A45U
72,NACB5FAP9,New acad(5th Floor),2c:33:11:80:81:58,70:db:98:07:b8:40,AIR-AP2802I-D-K9,FGL2109A45W
76,NACB5FAP13,New acad(5th Floor),00:2c:c8:99:65:f0,70:db:98:14:b9:20,AIR-AP2802I-D-K9,FGL2109A454
79,NACB6FAP1,New acad(6th Floor),00:38:df:20:03:30,00:38:df:20:73:20,AIR-AP1852I-D-K9,KWC2049066G
80,NACB6FAP2,New acad(6th Floor),00:38:df:20:04:30,00:38:df:20:77:20,AIR-AP1852I-D-K9,KWC2049067C
81,NACB6FAP3,New acad(6th Floor),00:38:df:20:03:28,00:38:df:20:73:00,AIR-AP1852I-D-K9,KWC2049066F
82,NACB6FAP4,New acad(6th Floor),00:38:df:24:64:a0,00:38:df:25:f9:00,AIR-AP1852I-D-K9,KWC204803TX
83,NACB6FAP5,New acad(6th Floor),00:38:df:20:03:48,00:38:df:20:73:80,AIR-AP1852I-D-K9,KWC2049066J
84,NACB6FAP6,New acad(6th Floor),2c:33:11:ed:53:58,70:db:98:04:06:e0,AIR-AP2802I-D-K9,FGL2109A45N
87,NACB6FAP9,New acad(6th Floor),00:2c:c8:99:65:ea,70:db:98:14:b8:c0,AIR-AP2802I-D-K9,FGL2109A458
91,NACB6FAP13,New acad(6th Floor),00:2c:c8:99:65:f8,70:db:98:14:b9:a0,AIR-AP2802I-D-K9,FGL2109A465
94,NACB7FAP1,No Guard Post,28:94:0f:d6:d8:13,c4:0a:cb:2d:bb:d0,AIR-LAP1142N-N-K9,FGL1601S0J7
95,NACB7FAP2,No Guard Post,c4:64:13:11:43:41,c4:0a:cb:25:ff:50,AIR-LAP1142N-N-K9,FGL1601S0HE
96,NACB2FAP11,New acad(2nd Floor),00:2c:c8:99:64:64,6c:dd:30:3f:75:65,AIR-AP2802I-D-K9,FGL2109A465
97,NACB4FAP1,New acad(4th Floor),00:38:df:20:03:e0,6c:dd:30:41:30:85,AIR-AP1852I-D-K9,KWC20490672
